time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-04 00:00:00+00:00,1,1,0,0
2024-06-08 00:00:00+00:00,2,2,0,0
2024-06-11 00:00:00+00:00,1,1,0,0
2024-06-17 00:00:00+00:00,8,5,10,2
2024-06-18 00:00:00+00:00,5,2,0,0
2024-06-19 00:00:00+00:00,5,2,0,0
2024-06-20 00:00:00+00:00,6,3,4,1
2024-06-21 00:00:00+00:00,3,2,0,0
2024-06-22 00:00:00+00:00,6,2,0,0
2024-06-23 00:00:00+00:00,1,1,0,0
2024-06-25 00:00:00+00:00,1,1,0,0
2024-06-26 00:00:00+00:00,2,1,0,0
2024-06-28 00:00:00+00:00,2,2,0,0
2024-06-29 00:00:00+00:00,1,1,0,0
2024-07-01 00:00:00+00:00,3,2,0,0
2024-07-02 00:00:00+00:00,2,1,0,0
2024-07-03 00:00:00+00:00,3,1,0,0
2024-07-05 00:00:00+00:00,0,0,1,1
2024-07-06 00:00:00+00:00,1,1,0,0
2024-07-08 00:00:00+00:00,2,2,0,0
2024-07-10 00:00:00+00:00,3,1,0,0
2024-07-11 00:00:00+00:00,3,1,0,0
2024-07-13 00:00:00+00:00,2,1,0,0
2024-07-16 00:00:00+00:00,1,1,1,1
2024-07-19 00:00:00+00:00,3,2,0,0
2024-07-20 00:00:00+00:00,3,1,0,0
2024-07-22 00:00:00+00:00,0,0,2,1
2024-07-23 00:00:00+00:00,1,1,38,1
2024-07-24 00:00:00+00:00,2,2,23,3
2024-07-25 00:00:00+00:00,3,2,5,1
2024-07-26 00:00:00+00:00,2,2,0,0
2024-07-30 00:00:00+00:00,1,1,0,0
2024-07-31 00:00:00+00:00,18,6,41,2
2024-08-01 00:00:00+00:00,8,3,78,2
2024-08-02 00:00:00+00:00,3,3,13,1
2024-08-04 00:00:00+00:00,1,1,0,0
2024-08-05 00:00:00+00:00,3,2,5,2
2024-08-06 00:00:00+00:00,4,3,0,0
2024-08-07 00:00:00+00:00,1,1,0,0
2024-08-09 00:00:00+00:00,1,1,0,0
2024-08-10 00:00:00+00:00,1,1,0,0
2024-08-13 00:00:00+00:00,1,1,0,0
2024-08-20 00:00:00+00:00,4,4,0,0
2024-08-22 00:00:00+00:00,1,1,0,0
2024-08-23 00:00:00+00:00,3,3,0,0
2024-08-24 00:00:00+00:00,2,2,0,0
2024-08-25 00:00:00+00:00,2,1,0,0
2024-08-29 00:00:00+00:00,2,2,0,0
2024-08-30 00:00:00+00:00,3,1,0,0
2024-08-31 00:00:00+00:00,4,4,0,0
2024-09-01 00:00:00+00:00,1,1,0,0
2024-09-02 00:00:00+00:00,4,2,0,0
2024-09-04 00:00:00+00:00,2,2,0,0
